0.01	-0	552229	4904.14
0.0199951	-0.125664	1.16724e+06	4505.33
0.0199803	-0.251327	400763	4880.61
0.0199556	-0.376991	1.39805e+06	4068.26
0.0199211	-0.502655	1.24485e+06	4384.81
0.0198769	-0.628319	1.12439e+06	4571.87
0.0198229	-0.753982	3.08247e+06	2875.04
0.0197592	-0.879646	736240	4813.91
0.0196858	-1.00531	2.2118e+06	3016.25
0.0196029	-1.13097	988908	4681.23
0.0195106	-1.25664	2.37184e+06	2961.79
0.0194088	-1.3823	456612	4869.51
0.0192978	-1.50796	2.32841e+06	2969.69
0.0191775	-1.63363	1.43098e+06	3976.67
0.0190483	-1.75929	2.79263e+06	2897.2
0.0189101	-1.88496	516793	4857.54
0.0187631	-2.01062	577457	4845.48
0.0186074	-2.13628	1.04842e+06	4648.38
0.0184433	-2.26195	1.40363e+06	4052.73
0.0182708	-2.38761	1.20662e+06	4444.17
0.0180902	-2.51327	1.18101e+06	4483.95
0.0179016	-2.63894	1.87411e+06	3186.77
0.0177051	-2.7646	70485	4903.44
0.0175011	-2.89027	3.01304e+06	2880.35
0.0172897	-3.01593	1.77994e+06	3269.97
0.0170711	-3.14159	2.63683e+06	2917.85
0.0168455	3.01593	833398	4767.09
0.0166131	2.89027	402592	4880.25
0.0163742	2.7646	3.01516e+06	2880.19
0.0161291	2.63894	385741	4883.6
0.0158779	2.51327	1.42876e+06	3982.83
0.0156208	2.38761	383142	4884.06
0.0153583	2.26195	564939	4847.97
0.0150904	2.13628	576109	4845.75
0.0148175	2.01062	134904	4901.73
0.0145399	1.88496	473655	4866.12
0.0142578	1.75929	1.14731e+06	4536.28
0.0139715	1.63363	2.58426e+06	2926.57
0.0136812	1.50796	1.75789e+06	3300.95
0.0133874	1.3823	1.11524e+06	4586.08
0.0130902	1.25664	1.45573e+06	3907.84
0.0127899	1.13097	1.76925e+06	3284.99
0.0124869	1.00531	2.37502e+06	2961.26
0.0121814	0.879646	2.92984e+06	2886.71
0.0118738	0.753982	3.08949e+06	2874.51
0.0115643	0.628319	291954	4890.82
0.0112533	0.502655	1.4459e+06	3935.15
0.0109411	0.376991	754728	4810.23
0.0106279	0.251327	2.44637e+06	2949.43
0.0103141	0.125664	1.54749e+06	3677.57
0.01	2.60209e-16	3.1335e+06	2871.14
0.00968589	-0.125664	584293	4844.12
0.00937209	-0.251327	242172	4894.51
0.00905892	-0.376991	2.50838e+06	2939.15
0.00874667	-0.502655	1.80536e+06	3243.23
0.00843566	-0.628319	1.93275e+06	3138.61
0.00812619	-0.753982	1.17725e+06	4489.78
0.00781857	-0.879646	3.00909e+06	2880.65
0.0075131	-1.00531	1.90367e+06	3162.49
0.00721009	-1.13097	145784	4901.34
0.00690983	-1.25664	1.08597e+06	4627.64
0.00661262	-1.3823	2.09491e+06	3062.93
0.00631875	-1.50796	895506	4732.8
0.00602852	-1.63363	1.65919e+06	3439.58
0.00574221	-1.75929	1.50397e+06	3778.53
0.0054601	-1.88496	466144	4867.61
0.00518246	-2.01062	1.2669e+06	4350.57
0.00490959	-2.13628	2.60929e+06	2922.42
0.00464173	-2.26195	1.66227e+06	3435.25
0.00437917	-2.38761	1.22675e+06	4412.92
0.00412215	-2.51327	2.35942e+06	2963.85
0.00387093	-2.63894	2.674e+06	2911.69
0.00362576	-2.7646	1.52977e+06	3718.67
0.00338688	-2.89027	2.72734e+06	2902.85
0.00315453	-3.01593	150214	4901.19
0.00292893	3.14159	1.39458e+06	4077.9
0.00271031	3.01593	623195	4836.39
0.00249889	2.89027	953184	4700.96
0.00229487	2.7646	2.56837e+06	2929.2
0.00209845	2.63894	1.52843e+06	3721.79
0.00190983	2.51327	963583	4695.22
0.00172919	2.38761	1.55741e+06	3654.56
0.00155672	2.26195	100431	4902.79
0.00139258	2.13628	1.38919e+06	4092.9
0.00123693	2.01062	2.05321e+06	3079.58
0.00108993	1.88496	2.19591e+06	3022.6
0.000951729	1.75929	248334	4894.06
0.000822454	1.63363	726034	4815.94
0.000702235	1.50796	2.5623e+06	2930.21
0.000591192	1.3823	2.0588e+06	3077.35
0.000489435	1.25664	2.48585e+06	2942.89
0.000397063	1.13097	2.09914e+06	3061.24
0.000314168	1.00531	2.91039e+06	2888.2
0.000240832	0.879646	2.4093e+06	2955.58
0.000177127	0.753982	189693	4898.41
0.000123117	0.628319	747699	4811.63
7.8853e-05	0.502655	1.34576e+06	4213.69
4.43804e-05	0.376991	1.3864e+06	4100.67
1.97327e-05	0.251327	2.93774e+06	2886.11
4.9344e-06	0.125664	1.70464e+06	3375.74
8.88178e-18	1.5708	2.94766e+06	2885.35
142e+06	3864.18
4	2.74834e+06	2900.58
2.44778e-05	0.628319	1.41991e+06	4007.46
1.42109e-17	-1.5708	1.99438e+06	3103.07
6	2951.3
